#|frequency	|flux	|
102.582406303	-0.000658383942209	
102.580452967	0.000146335034515	
102.578499631	-0.000342917017406	
102.576546295	-0.000397925643483	
102.574592959	-1.68334245245e-05	
102.572639623	-0.0003526408982	
102.570686287	-0.000916621298529	
102.568732951	0.000266119808657	
102.566779615	-0.000168884522282	
102.564826279	-9.77218296612e-05	
102.562872943	-0.000512965198141	
102.560919607	0.000733745808247	
102.558966271	-0.000410504435422	
102.557012935	-0.000258567975834	
102.555059599	0.000248411583016	
102.553106263	-0.000442248012405	
102.551152927	-0.000812815036625	
102.549199591	0.000382629019441	
102.547246255	0.000242543377681	
102.545292919	0.000175276363734	
102.543339583	0.000244221766479	
102.541386247	-0.000430464133387	
102.539432911	-0.000160084688105	
102.537479575	2.99417820315e-06	
102.535526239	-0.00023150681227	
102.533572903	0.00104660098441	
102.531619567	6.16536271991e-05	
102.529666231	0.000784297648352	
102.527712895	-0.000353502371581	
102.525759559	0.000499076035339	
102.523806223	0.000563225883525	
102.521852887	0.000953372509684	
102.519899551	-7.21167889424e-05	
102.517946215	-0.000692969711963	
102.515992879	-0.000114206930448	
102.514039543	0.000184636868653	
102.512086207	0.000473447638797	
102.510132871	0.000310058851028	
102.508179535	0.000253732927376	
102.506226199	0.000696429226082	
102.504272863	0.000546675059013	
102.502319527	0.00177659851033	
102.500366191	0.00108321930747	
102.498412855	0.00112030503806	
102.496459519	0.000230326884775	
102.494506183	-0.000305999798002	
102.492552847	0.000352315226337	
102.490599511	0.000948805478401	
102.488646175	0.00115151761565	
102.486692839	0.00065284705488	
102.484739503	0.000531631230842	
102.482786167	0.0016216939548	
102.480832831	0.00186008983292	
102.478879495	0.00199332577176	
102.476926159	0.00205725384876	
102.474972823	0.00369727588259	
102.473019487	0.00526994699612	
102.471066151	0.00469137681648	
102.469112815	0.00730013335124	
102.467159479	0.00940624251962	
102.465206143	0.0125467181206	
102.463252807	0.0115219950676	
102.461299471	0.0124602299184	
102.459346135	0.0144352428615	
102.457392799	0.0148609941825	
102.455439463	0.0123222302645	
102.453486127	0.0133251734078	
102.451532791	0.0129383392632	
102.449579455	0.0139969717711	
102.447626119	0.0118718231097	
102.445672783	0.0107888355851	
102.443719447	0.0096026705578	
102.441766111	0.00880011916161	
102.439812775	0.00664899405092	
102.437859439	0.00543541833758	
102.435906103	0.00423786696047	
102.433952767	0.00538010010496	
102.431999431	0.00475101685151	
102.430046095	0.0036933219526	
102.428092759	0.00522967381403	
102.426139423	0.00512042315677	
102.424186087	0.00522467819974	
102.422232751	0.00372726935893	
102.420279415	0.00555826630443	
102.418326079	0.00454284343868	
